id,slug,name,brand,tagline,type,style,frame,finish,glazing,sku,size_width,size_height,price_cad,availability,lead_time_days,install_addon_cad,warranty_years,made_in,description_short
bypass-modern-minimalist,modern-minimalist-bypass-closet-door,Modern Minimalist Bypass Closet Door,PG Closets,Clean lines. Maximum light. Pure sophistication.,bypass,frosted,aluminum,matte-black,frosted,BYPASS-MIN-60x80,60,80,649,InStock,7,350,10,Assembled in Canada with imported components,Contemporary bypass door with ultra-slim aluminum frames and frosted glass. Soft-close mechanism and 10-year warranty.
bypass-modern-minimalist,modern-minimalist-bypass-closet-door,Modern Minimalist Bypass Closet Door,PG Closets,Clean lines. Maximum light. Pure sophistication.,bypass,frosted,aluminum,matte-black,frosted,BYPASS-MIN-72x80,72,80,729,InStock,7,375,10,Assembled in Canada with imported components,Contemporary bypass door with ultra-slim aluminum frames and frosted glass. Soft-close mechanism and 10-year warranty.
bypass-modern-minimalist,modern-minimalist-bypass-closet-door,Modern Minimalist Bypass Closet Door,PG Closets,Clean lines. Maximum light. Pure sophistication.,bypass,frosted,aluminum,matte-black,frosted,BYPASS-MIN-96x84,96,84,849,InStock,10,425,10,Assembled in Canada with imported components,Contemporary bypass door with ultra-slim aluminum frames and frosted glass. Soft-close mechanism and 10-year warranty.
bypass-traditional-mirror,traditional-mirror-bypass-closet-door,Traditional Mirror Bypass Closet Door,PG Closets,Classic elegance meets modern functionality.,bypass,mirror,steel,bright-white,mirror,BYPASS-MIR-60x80,60,80,549,InStock,5,325,15,Canada,Traditional mirror bypass doors with bevelled edges and steel frames. Canadian-made with 15-year mirror backing warranty.
bypass-traditional-mirror,traditional-mirror-bypass-closet-door,Traditional Mirror Bypass Closet Door,PG Closets,Classic elegance meets modern functionality.,bypass,mirror,steel,bright-white,mirror,BYPASS-MIR-72x80,72,80,619,InStock,5,350,15,Canada,Traditional mirror bypass doors with bevelled edges and steel frames. Canadian-made with 15-year mirror backing warranty.
bypass-traditional-mirror,traditional-mirror-bypass-closet-door,Traditional Mirror Bypass Closet Door,PG Closets,Classic elegance meets modern functionality.,bypass,mirror,steel,bright-white,mirror,BYPASS-MIR-96x84,96,84,749,InStock,7,400,15,Canada,Traditional mirror bypass doors with bevelled edges and steel frames. Canadian-made with 15-year mirror backing warranty.
bifold-shaker-white,shaker-style-bifold-closet-door,Shaker Style Bifold Closet Door,PG Closets,Timeless design. Space-saving brilliance.,bifold,panel-raised,wood,off-white,none,BIFOLD-SHAK-24x80,24,80,399,InStock,10,225,Lifetime,Canada,Handcrafted Shaker bifold doors in solid Canadian maple. Raised panel design with lifetime wood warranty.
bifold-shaker-white,shaker-style-bifold-closet-door,Shaker Style Bifold Closet Door,PG Closets,Timeless design. Space-saving brilliance.,bifold,panel-raised,wood,off-white,none,BIFOLD-SHAK-30x80,30,80,449,InStock,10,250,Lifetime,Canada,Handcrafted Shaker bifold doors in solid Canadian maple. Raised panel design with lifetime wood warranty.
bifold-shaker-white,shaker-style-bifold-closet-door,Shaker Style Bifold Closet Door,PG Closets,Timeless design. Space-saving brilliance.,bifold,panel-raised,wood,off-white,none,BIFOLD-SHAK-36x84,36,84,529,InStock,12,275,Lifetime,Canada,Handcrafted Shaker bifold doors in solid Canadian maple. Raised panel design with lifetime wood warranty.
pivot-frosted-glass,contemporary-pivot-door-frosted-glass,Contemporary Pivot Door - Frosted Glass,PG Closets,Architectural statement. Effortless elegance.,pivot,frosted,aluminum,brushed-nickel,frosted,PIVOT-FROST-36x84,36,84,849,InStock,14,450,15,Imported components assembled in Canada,Architectural pivot doors with full-height frosted glass. Soft-close accessibility-ready with 15-year warranty.
pivot-frosted-glass,contemporary-pivot-door-frosted-glass,Contemporary Pivot Door - Frosted Glass,PG Closets,Architectural statement. Effortless elegance.,pivot,frosted,aluminum,brushed-nickel,frosted,PIVOT-FROST-42x90,42,90,949,PreOrder,21,500,15,Imported components assembled in Canada,Architectural pivot doors with full-height frosted glass. Soft-close accessibility-ready with 15-year warranty.
barn-contemporary-steel,contemporary-barn-sliding-door-steel,Contemporary Barn Sliding Door - Steel,PG Closets,Industrial chic meets refined elegance.,barn-sliding,panel-flat,steel,matte-black,clear,BARN-STEEL-36x84,36,84,749,InStock,12,425,Lifetime,Manufactured in Ontario Canada,Contemporary barn doors with welded steel frames. Soft-close Ontario-made with lifetime frame warranty.
barn-contemporary-steel,contemporary-barn-sliding-door-steel,Contemporary Barn Sliding Door - Steel,PG Closets,Industrial chic meets refined elegance.,barn-sliding,panel-flat,steel,matte-black,clear,BARN-STEEL-42x90,42,90,849,InStock,12,475,Lifetime,Manufactured in Ontario Canada,Contemporary barn doors with welded steel frames. Soft-close Ontario-made with lifetime frame warranty.
barn-contemporary-steel,contemporary-barn-sliding-door-steel,Contemporary Barn Sliding Door - Steel,PG Closets,Industrial chic meets refined elegance.,barn-sliding,panel-flat,steel,matte-black,clear,BARN-STEEL-48x96,48,96,949,PreOrder,18,525,Lifetime,Manufactured in Ontario Canada,Contemporary barn doors with welded steel frames. Soft-close Ontario-made with lifetime frame warranty.
room-divider-accordion,accordion-room-divider-translucent,Accordion Room Divider - Translucent Panels,PG Closets,Flexible spaces. Infinite possibilities.,room-dividers,panel-flat,aluminum,acrylic,clear,DIVIDER-ACCR-96x96,96,96,649,InStock,10,375,10,Imported components assembled in Canada,Flexible accordion room dividers with light-transmitting panels. Sound dampening radiant heat safe 10-year warranty.
room-divider-accordion,accordion-room-divider-translucent,Accordion Room Divider - Translucent Panels,PG Closets,Flexible spaces. Infinite possibilities.,room-dividers,panel-flat,aluminum,acrylic,clear,DIVIDER-ACCR-120x96,120,96,749,InStock,12,425,10,Imported components assembled in Canada,Flexible accordion room dividers with light-transmitting panels. Sound dampening radiant heat safe 10-year warranty.
room-divider-accordion,accordion-room-divider-translucent,Accordion Room Divider - Translucent Panels,PG Closets,Flexible spaces. Infinite possibilities.,room-dividers,panel-flat,aluminum,acrylic,clear,DIVIDER-ACCR-144x108,144,108,899,PreOrder,18,500,10,Imported components assembled in Canada,Flexible accordion room dividers with light-transmitting panels. Sound dampening radiant heat safe 10-year warranty.
